,name,V,P,Distance,countPeople,Price
66,2412551.8870523414,3.5,170.0,65000.0,1.0,1500000.0
67,16108367.924701562,6.6,570.0,15900.0,2.0,16000000.0
68,3341034.5913682277,0.0,279.0,680.0,1.0,3750000.0
69,2775034.5913682277,1.5,176.0,7000.0,1.0,2350000.0
70,1865034.5913682275,2.0,150.0,140000.0,3.0,870000.0
71,2911701.2580348942,2.7,166.0,188000.0,1.0,3360000.0
72,3021034.5913682277,1.5,168.0,0.0,0.0,3199000.0
73,1808034.5913682275,1.5,87.0,0.0,0.0,939000.0
74,1955034.5913682275,1.5,136.0,45446.0,1.0,1190000.0
75,3157701.2580348942,0.0,171.0,0.0,0.0,3499000.0
76,3028301.2580348942,1.5,143.0,0.0,0.0,2779900.0
77,1236701.2580348945,1.1,65.0,123589.0,4.0,135000.0
78,3368361.2580348942,2.0,245.0,0.0,0.0,3529990.0
79,3557551.8870523414,2.0,197.0,0.0,0.0,3790000.0
80,2476923.9247015608,1.5,109.0,9231.0,0.0,2089334.0
81,5038367.924701561,2.0,184.0,150000.0,1.0,2290000.0
82,2174701.2580348942,1.5,102.0,0.0,0.0,2900000.0
83,1924701.2580348942,2.0,136.0,173900.0,3.0,1399000.0
84,1365034.5913682277,2.5,91.0,158000.0,3.0,80000.0
85,1643367.924701561,1.6,115.0,242100.0,4.0,685000.0
86,2825034.5913682277,0.0,161.0,58880.0,2.0,3000000.0
87,1376701.2580348945,1.4,75.0,244000.0,4.0,255000.0
88,2638367.5913682277,1.5,147.0,61000.0,1.0,2899999.0
89,1309701.2580348945,1.8,112.0,195000.0,4.0,165000.0
90,4054701.2580348942,2.0,231.0,0.0,0.0,4849000.0
91,1843367.924701561,2.2,175.0,140000.0,3.0,1490000.0
92,2268034.5913682277,1.5,147.0,15.0,1.0,1630000.0
93,1168367.924701561,1.6,74.0,100000.0,1.0,100000.0
94,12775034.591368228,6.0,635.0,71400.0,2.0,19000000.0
95,1480701.2580348942,0.6,55.0,213000.0,4.0,260000.0
96,3224701.2580348942,5.0,470.0,198000.0,3.0,1850000.0
97,11938367.924701562,5.5,550.0,66447.0,2.0,8500000.0
98,1898034.5913682275,2.0,158.0,250000.0,0.0,949000.0
99,1698367.924701561,1.6,150.0,193379.0,3.0,1250000.0
